image,generated_caption
3246773992.jpg,a young woman in a red dress is dancing.
3250952067.jpg,two men are standing on a concrete court.
3251234434.jpg,a woman in a gray jacket and a dog are sitting in the snow.
3252065328.jpg,a man in an orange shirt is holding up a volleyball in front of a crowd.
3253523210.jpg,a nun is greeting a woman in a blue robe.
325686400.jpg,a group of people are playing a card game.
3260088697.jpg,a young boy in a black shirt is running through the surf.
3264350290.jpg,a young man is skateboarding on a cement wall.
3265964840.jpg,a man in a blue shirt and green hat is jumping on a snowboard.
3269380710.jpg,a man in a blue sweater smokes a cigarette.
3270010926.jpg,a group of men in hard hats are climbing a rock.
3271061953.jpg,a crowd of people are sitting on the back of a truck.
3281580623.jpg,two dogs fighting over a dead dog.
3281611946.jpg,two men are holding up glasses.
328385526.jpg,a man and a woman are sitting at a table with drinks.
3283913180.jpg,a group of people are sitting on steps outside of a building.
3291515826.jpg,four men in hard hats are standing on a construction site.
3293633594.jpg,two young girls are dancing with yellow draping around their shoulders.
3295024992.jpg,a skier is skiing down a snowy hill.
3296150666.jpg,a car is driving through a muddy road.
3299820653.jpg,a man in a black suit is talking to a woman in a black suit.
3302667658.jpg,a group of people are standing on a boat in the water.
3303507839.jpg,three children are standing on a fallen tree.
3303797949.jpg,a boy in a white shirt is playing with a basketball.
3304484212.jpg,a man in a red jacket is snowboarding.
3308488725.jpg,a young boy in a blue shirt and jeans is running on a track.
3311566845.jpg,two men are playing a musical instrument.
3312232591.jpg,a man in a blue hat is looking at a food market.
3313188616.jpg,a group of people are walking in front of a building.
3313620862.jpg,a crowd of people are watching a man on a skateboard.
3316314002.jpg,a woman in a blue shirt and pink scarf is sitting on a red stool and working on a lo
3323528927.jpg,a young boy jumps on a yellow plastic stool.
3324049172.jpg,a person is laying in the snow.
3324375078.jpg,two dogs playing in the snow.
3325910784.jpg,a small white dog jumps over a tree stump.
3326249355.jpg,two men stand next to a wooden cross.
3326376344.jpg,a black dog is running in the snow.
3329120776.jpg,a group of people are building a house.
3333314878.jpg,two people stand in a dusty area with mountains in the background.
3333860706.jpg,two people sit on a beach next to a castle.
3334866049.jpg,two people in bright green jackets are walking through the snow.
3335035034.jpg,two men are playing guitars on stage.
3335127933.jpg,a group of people are sitting around a conference table.
3335692531.jpg,two dogs are fighting over a red toy.
3338249860.jpg,a woman in a black hat and glasses is looking at a bag of corn.
33408768.jpg,a man is setting up a tent in the woods.
3341920567.jpg,a red car is stopped at a crosswalk.
334768700.jpg,a man in a red shirt is sitting on the grass playing a guitar.
3349396565.jpg,a group of young men are playing baseball on the beach.
3350786891.jpg,a group of women and children sit outside.
3352871762.jpg,a man and a woman are posing for a picture with their tattoos.
3353313448.jpg,a young girl in a red shirt is holding a small animal.
3354039544.jpg,a woman in blue pants and a striped shirt is pouring water out of a yellow container.
3356520287.jpg,two girls and a boy are playing monopoly.
3359454244.jpg,a man in a black shirt juggles a large metal pan.
3359587274.jpg,a person is parasailing in the desert.
3363750526.jpg,a black and white dog is running on the beach.
3363776919.jpg,a bull is being bull - fighting by a man in a white shirt.
3365049500.jpg,a woman in a bikini applying eyeliner.
3366571152.jpg,two people sit at a table outside at night.
3373615534.jpg,a woman in a white sweatshirt is washing a car with a green rag.
3375981446.jpg,four girls are sitting at a table outside.
337793983.jpg,three men sitting outside a storefront.
3381747300.jpg,a man carrying a baby in a bag on his back.
3383037991.jpg,a dog is laying on a bed with many diapers.
3393394134.jpg,a dog is rolling around on its back.
3397310901.jpg,a man in a purple shirt is doing a trick with a bicycle.
3397434332.jpg,two men in white karate uniforms are fighting in front of a crowd.
3409727957.jpg,a man with curly hair and an orange shirt jumps on a trampoline.
3413244848.jpg,a woman in a gray shirt and white hat is playing tennis.
3415165462.jpg,a brown and white dog is jumping up and down.
3416617727.jpg,a crowd of people holding up signs that say
3421928157.jpg,a group of people are rafting in a river.
3433341061.jpg,a group of people are sitting at a table in a restaurant.
3436063693.jpg,a dog in a blue outfit is sitting in the grass.
3441104823.jpg,a large group of people are walking down the street.
3441701164.jpg,a man in a blue and black motorcycle suit is holding up his right hand and smiling.
3441966720.jpg,a man is selling bread at a street vendor.
3443404125.jpg,two men are sitting at a table outside.
3445544288.jpg,two ski lift cars are parked on a snowy mountaintop.
3446762868.jpg,a skateboarder is doing a trick on a metal beam.
3457460673.jpg,a young girl with brown hair is swinging on a swing.
3465311847.jpg,a man in a yellow shirt is working on a roof.
3465353601.jpg,a young boy and a young girl are sitting at a computer.
3470703538.jpg,two men walking down a cobblestone street.
3471746122.jpg,two men are standing next to a yellow vehicle.
3472331684.jpg,a little girl in a yellow skirt and white shirt is standing in front of a fence with yellow paper
3474999131.jpg,a black dog jumps over a yellow bar.
3475111806.jpg,a crowd of people are standing in front of a billboard.
3478471864.jpg,two women in a parade are dancing with their hands up in the air.
3482565941.jpg,a man is standing in front of a row of yellow and white poles.
3488087117.jpg,a white dog is running on a path.
3493000349.jpg,four children in pink bathing suits are playing in water.
3494701610.jpg,a group of people walking up a hill.
3496410435.jpg,a man and a woman ride a tandem bike.
3497234632.jpg,a basketball game is played in a gym.
3497238310.jpg,three young men are standing in a gym.
3498192512.jpg,a group of people wearing pink hats are walking down a path.
3502459991.jpg,a man in a black shirt is firing a yellow gun at a wall.
3505701438.jpg,a woman in a tan coat and hat is looking at graffiti on a wall.
350630236.jpg,a group of men are pulling a large net on the beach.
3506454111.jpg,a woman in a gray shirt and jeans is about to throw a red bowling ball.
3510219078.jpg,a black dog and a brown and white dog are running on the grass.
3513318675.jpg,two chefs are preparing food in a kitchen.
3522749949.jpg,a man in a black and red uniform is playing soccer.
3523819210.jpg,a man in a gray jacket is sitting in a chair in front of a wall.
3525978606.jpg,a blond woman in a red dress is looking at a plane.
3527682660.jpg,a group of people are sitting around a table in a room.
3532205154.jpg,a woman in a green dress is looking at another man in a black hat.
3533484468.jpg,a blond woman in a gray jacket talks on her cellphone with a young man in a gray jacket
3535879138.jpg,a crowd of people are walking down a street with red flags.
3539817989.jpg,a man is playing with a group of dogs and cats.
3545427060.jpg,three children are playing in the water.
3549408779.jpg,a black and white dog swimming in a pool.
3550508366.jpg,a construction worker in a white hard hat and safety vest is standing in front of a construction site.
3559119662.jpg,a man walks past a map of the city.
3561498139.jpg,a girl in a green dress jumps in a field.
3565917449.jpg,a man in a brown jacket is riding a bicycle down the street.
3566225740.jpg,military men are walking in a parking lot.
3572872546.jpg,a group of people are riding bicycles.
3574378184.jpg,a man holding a baby is smiling at the camera.
3574930742.jpg,a man is sleeping on a desk with a lamp on his head.
3575330336.jpg,two baseball players are running to the home plate.
3576599481.jpg,a woman in a gray jacket is dancing with other people.
3582914739.jpg,a woman in rollerskating gear is looking at the camera.
3584406900.jpg,a man and a woman are playing on a swing set.
358779007.jpg,a young boy in a blue jumpsuit is playing with a broom.
3589368949.jpg,native american men performing at an outdoor event.
3595408539.jpg,a man in a black shirt and a woman in a red and white checkered shirt are standing outside
3602603745.jpg,a boy in a white shirt is reading a newspaper.
3608567609.jpg,two women sitting on a bench.
3612538549.jpg,a boy is covered in sand.
3613734337.jpg,a woman in a blue jacket sits on a chair on a green field.
3618932839.jpg,a black and white dog jumps over a red pole.
3623894108.jpg,a man in a blue shirt and jeans standing on a sidewalk next to a storefront.
3625519177.jpg,a man is swinging from a high wire over a lake.
3631023049.jpg,three children are playing on a playground swing.
3631344685.jpg,a baseball player is swinging at a pitch while the catcher is wearing a red helmet.
